127.0.0.1 - - [06/Jun/2023:12:10:40 +0530] "GET / HTTP/1.1" 404 955
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:00 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:00 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:00 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:00 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:05 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/Files.jsp HTTP/1.1" 200 34800
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/css/table1.css HTTP/1.1" 200 773
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/css/table.css HTTP/1.1" 200 911
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/js/table.js HTTP/1.1" 200 337
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:10 +0530] "GET /DataSharing/js/jquery.min.js HTTP/1.1" 200 84355
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:15 +0530] "GET /DataSharing/index.jsp HTTP/1.1" 200 34046
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:15 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:15 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:15 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:15 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:15 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:15 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:20 +0530] "GET /DataSharing/Group_Member.jsp HTTP/1.1" 200 37987
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:20 +0530] "GET /DataSharing/node_modules/font-awesome/css/font-awesome.min.css HTTP/1.1" 404 1141
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:20 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/css/perfect-scrollbar.min.css HTTP/1.1" 404 1186
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:20 +0530] "GET /DataSharing/node_modules/jquery/dist/jquery.min.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:20 +0530] "GET /DataSharing/node_modules/popper.js/dist/umd/popper.min.js HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:20 +0530] "GET /DataSharing/node_modules/bootstrap/dist/js/bootstrap.min.js HTTP/1.1" 404 1132
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:20 +0530] "GET /DataSharing/node_modules/perfect-scrollbar/dist/js/perfect-scrollbar.jquery.min.js HTTP/1.1" 404 1201
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/member_reg.jsp?name=sanjit&group=112456789&email=saisanjitdubbaka%40gmail.com&password=1234 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jun/2023:12:43:39 +0530] "GET /DataSharing/Member_Home.jsp?success HTTP/1.1" 200 32056
